Name,Address,prktype,restroom,Website,playground,soccer,basketball,tennis,volleyball,baseball,discgolf,dogpark,picnic,sprayground,latitude,longitude
Arbor Glen Outreach Center,"1520 CLANTON RD CHARLOTTE, NC 28217",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.20662524,-80.89361304
Sunset Hills Golf Course,"800 RADIO RD CHARLOTTE, NC 28216",Golf Course,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.30507558,-80.88664229
Buckeye Cove Nature Preserve,"5901 STEPHENS RD HUNTERSVILLE, NC 28078",Nature Preserve,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.40129442,-80.93767221
West Charlotte Recreation Center,"2401 KENDALL DR CHARLOTTE, NC 28216",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,35.26860158,-80.85669272
Romare Bearden Park,"300 S CHURCH ST CHARLOTTE, NC 28202",Neighborhood,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,35.22658338,-80.84650174
Cook Park,"15010 ERVIN COOK RD HUNTERSVILLE, NC 28078",Town Park,No,https://www.huntersville.org/162/Parks-Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.41866437,-80.8970925
Kirk Farm Fields Park,"201 E MALLARD CREEK CHURCH RD CHARLOTTE, NC 28262",Community,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.32143917,-80.73391675
West Mecklenburg Park,"2765 WESTERWOOD VILLAGE DR. CHARLOTTE, NC 28214",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.25026376,-80.95477681
West Branch Nature Preserve,"17439 SUMMERS WALK BV DAVIDSON, NC 28036",Nature Preserve,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4524033,-80.77335738
Smallwood Community Garden,"2625 ROSLYN AV CHARLOTTE, NC 28208",Community Garden,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.24882698,-80.86679447
